"";"ingreso_mensual";"monto_prestamo";"plazo_meses";"score_crediticio";"edad";"trabajo";"cuota"
"1";2958,23746279337;23934,5197224509;48;686,404424133729;46;"monotributo";428,294446616992
"2";3756,93621566047;27538,7290423218;24;739,368209609088;31;"monotributo";989,052429208834
"3";2927,11902262358;18364,8624314132;48;712,913519476731;61;"monotributo";366,379021104453
"4";2188,72269075497;22241,328664829;36;573,763532388168;32;"monotributo";626,970228718027
"5";2634,62854396962;23276,4204525805;12;612,313296988334;54;"formal";1754,67720552346
"6";2869,62191580669;24103,5725724427;48;715,9702649358;26;"informal";481,088336852922
"7";3276,46001951852;17430,3972714601;12;647,179840093022;21;"formal";1334,62707799791
"8";2984,96334749712;28364,649012472;48;766,923442405789;43;"formal";567,679869863413
"9";2755,20112028229;18538,3064815695;12;612,31907303471;64;"monotributo";1407,96928348134
"10";2771,91562324568;21864,7993976048;12;590,795621017741;62;"formal";1723,21316712043
"11";4164,55307813996;16978,0641673507;36;682,784388405796;21;"formal";464,39815955251
"12";1992,7652820324;17060,3637703909;24;782,780122907474;54;"informal";611,289573938889
"13";2156,34362909125;18881,6227013789;36;700,367812518241;28;"formal";444,957161696392
"14";2836,51127214821;22638,8404753614;48;637,965787475482;45;"informal";462,226564541231
"15";2558,56821430046;21550,644373964;12;604,687358987619;62;"formal";1657,17001204576
"16";3187,50524481394;18074,0341477892;36;598,338383466549;51;"formal";510,438764456241
"17";3449,70911781691;24052,637157984;24;648,387619469633;24;"formal";942,940916256804
"18";2939,78373651501;30942,4586172754;48;668,711542469792;30;"monotributo";599,702283500151
"19";1816,17191513833;22960,0855621473;12;509,027991797197;24;"formal";1875,44773137006
"20";2718,94903801001;16914,4097230553;24;888,869693932943;56;"monotributo";561,94183034721
"21";2908,13309537173;27444,8687042898;12;596,408477719431;38;"monotributo";2125,590783242
"22";4365,89878081436;11127,7616598769;12;573,758290496363;45;"formal";878,148309142428
"23";2613,70981869106;23932,7298821013;48;554,20539441111;29;"monotributo";519,630897373564
"24";2980,6496408372;21693,8047994666;36;727,924077991829;36;"informal";541,07222323808
"25";2703,28389894174;20909,6821313068;48;587,698958050958;35;"informal";455,225846364415
"26";3896,9960617409;17451,2489042938;48;742,675111195954;56;"informal";342,724874937374
"27";3192,36442299714;17723,5098929374;12;609,095336656109;47;"monotributo";1374,75976771373
"28";2839,09842206162;22010,4004489056;36;588,784695702248;55;"informal";590,821832962116
"29";1731,5206895186;18329,6031984946;12;674,788565251182;26;"monotributo";1333,69853363443
"30";3075,36912975274;14821,2885535155;24;768,718100769829;65;"monotributo";525,300692904282
